"","Variable","Unweighted_0","Weighted_0","Unweighted_1_3","Weighted_1_3","Unweighted_4_6","Weighted_4_6","Unweighted_7_9","Weighted_7_9","Unweighted_10+","Weighted_10+"
"1","Gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Female","4,174 (71%)","72%","111,976 (71%)","71%","81,956 (71%)","71%","4,769 (71%)","71%","25 (71%)","49%"
"3","Male","1,561 (27%)","26%","41,707 (27%)","26%","30,516 (27%)","27%","1,764 (26%)","27%","10 (29%)","51%"
"4","Non-binary","31 (0.5%)","0.4%","796 (0.5%)","0.5%","566 (0.5%)","0.5%","31 (0.5%)","0.5%","0 (0%)","0%"
"5","Other/Prefer not to answer","100 (1.7%)","1.5%","2,568 (1.6%)","1.7%","2,021 (1.8%)","1.7%","105 (1.6%)","1.4%","0 (0%)","0%"
"7","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","35.44","2,195 (37%)","36%","59,596 (38%)","38%","43,708 (38%)","38%","2,543 (38%)","37%","10 (29%)","32%"
"9","18.24","219 (3.7%)","4.6%","6,596 (4.2%)","4.1%","4,791 (4.2%)","4.2%","275 (4.1%)","3.6%","2 (5.7%)","8.4%"
"10","25.34","1,077 (18%)","19%","28,376 (18%)","18%","20,611 (18%)","18%","1,229 (18%)","18%","3 (8.6%)","11%"
"11","45.54","1,415 (24%)","23%","39,264 (25%)","25%","29,051 (25%)","25%","1,681 (25%)","25%","13 (37%)","38%"
"12","55.64","571 (9.7%)","11%","14,143 (9.0%)","9.1%","10,468 (9.1%)","9.1%","587 (8.8%)","10%","4 (11%)","6.4%"
"13","65plus","384 (6.5%)","6.0%","8,959 (5.7%)","5.6%","6,345 (5.5%)","5.6%","348 (5.2%)","5.6%","3 (8.6%)","4.1%"
"15","Pre_K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Yes","1,781 (30%)","31%","48,166 (31%)","31%","35,504 (31%)","30%","2,087 (31%)","30%","7 (20%)","19%"
"19","Grades1_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Yes","2,790 (48%)","47%","74,091 (47%)","47%","54,208 (47%)","47%","3,037 (46%)","43%","17 (49%)","28%"
"23","Grades6_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Yes","1,989 (34%)","34%","53,224 (34%)","34%","38,936 (34%)","34%","2,243 (34%)","34%","6 (17%)","3.1%"
"27","Grades9_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Yes","2,329 (40%)","41%","61,586 (39%)","39%","45,060 (39%)","39%","2,716 (41%)","40%","15 (43%)","51%"
"31","Educational_Level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
