"","Variable","Unweighted_0","Weighted_0","Unweighted_1_3","Weighted_1_3","Unweighted_4_6","Weighted_4_6","Unweighted_7_9","Weighted_7_9","Unweighted_10+","Weighted_10+"
"1","mask_level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Always","2,204 (57%)","51%","30,656 (58%)","51%","46,588 (67%)","61%","65,435 (75%)","71%","51,121 (80%)","77%"
"4","Mostly","376 (9.8%)","9.8%","6,789 (13%)","13%","9,638 (14%)","15%","10,180 (12%)","13%","5,815 (9.1%)","10%"
"5","Never","543 (14%)","19%","5,428 (10%)","14%","2,377 (3.4%)","5.1%","1,225 (1.4%)","2.1%","616 (1.0%)","1.5%"
"6","Never in Public","125 (3.3%)","2.7%","2,040 (3.8%)","3.2%","2,027 (2.9%)","2.6%","2,423 (2.8%)","2.5%","1,886 (2.9%)","2.7%"
"7","Rarely","231 (6.0%)","7.4%","3,086 (5.8%)","6.9%","2,507 (3.6%)","4.8%","1,606 (1.8%)","2.6%","728 (1.1%)","1.5%"
"8","Sometimes","193 (5.0%)","5.6%","2,888 (5.4%)","6.0%","3,153 (4.6%)","5.7%","2,439 (2.8%)","3.6%","1,097 (1.7%)","2.2%"
"9","trav_out_state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Yes","610 (16%)","20%","6,682 (13%)","15%","5,864 (8.5%)","9.5%","6,248 (7.2%)","7.8%","4,278 (6.7%)","7.2%"
"13","bar_rest_cafe_activ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yes","1,001 (26%)","32%","13,778 (26%)","31%","14,324 (21%)","25%","14,154 (16%)","19%","8,570 (13%)","16%"
"17","large_event_activ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Yes","918 (24%)","30%","11,128 (21%)","26%","9,962 (14%)","18%","8,725 (10%)","13%","4,797 (7.5%)","9.4%"
"21","pub_transit_activ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Yes","416 (11%)","15%","3,466 (6.5%)","9.1%","1,324 (1.9%)","2.7%","1,293 (1.5%)","2.1%","1,101 (1.7%)","2.3%"
