"","State","early_noip","early_pip","early_fip","late_noip","late_pip","late_fip"
"1","AK",48,23,33,49,22,35
"2","AL",48,24,34,49,23,34
"3","AR",50,23,34,49,21,34
"4","AZ",49,23,33,48,23,33
"5","CA",49,23,33,49,23,33
"6","CO",49,23,34,49,22,34
"7","CT",48,22,34,49,22,34
"8","DC",50,20,35,48,22,35
"9","DE",50,24,32,49,21,32
"10","FL",48,23,34,49,22,34
"11","GA",49,23,35,49,24,33
"12","HI",50,23,36,43,21,34
"13","IA",51,23,35,48,23,33
"14","ID",50,24,32,47,25,34
"15","IL",49,23,33,49,22,35
"16","IN",48,22,34,49,23,35
"17","KS",50,23,34,50,23,34
"18","KY",51,23,33,50,23,35
"19","LA",49,24,35,50,23,34
"20","MA",48,23,35,50,24,36
"21","MD",49,22,34,49,22,34
"22","ME",50,23,36,49,24,33
"23","MI",49,23,33,50,22,34
"24","MN",49,24,34,48,23,34
"25","MO",48,24,34,49,23,34
"26","MS",50,21,34,49,23,34
"27","MT",50,22,31,52,24,37
"28","NC",49,23,35,49,23,34
"29","ND",49,22,36,49,20,35
"30","NE",48,23,34,49,24,33
"31","NH",46,23,33,48,22,32
"32","NJ",48,23,34,50,22,33
"33","NM",50,23,32,49,24,34
"34","NV",47,21,35,49,24,35
"35","NY",48,23,35,48,23,34
"36","OH",49,23,34,50,22,34
"37","OK",49,22,35,50,22,34
"38","OR",50,23,33,49,24,34
"39","PA",49,23,34,49,22,34
"40","RI",46,23,35,49,23,34
"41","SC",49,22,37,49,23,34
"42","SD",51,19,35,50,23,34
"43","TN",48,23,33,48,23,34
"44","TX",49,22,34,49,23,34
"45","UT",50,22,33,50,23,33
"46","VA",49,23,34,49,24,33
"47","VT",47,23,36,51,25,34
"48","WA",50,23,35,49,22,36
"49","WI",49,23,34,49,23,33
"50","WV",49,21,32,47,23,36
"51","WY",47,24,36,52,26,38
