"","PC1 (33%)","PC2 (10.3%)","PC3 (7.17%)","PC4 (6.7%)","PC5 (6.11%)","PC6 (5.53%)","PC7 (5.2%)","PC8 (4.51%)","PC9 (4.21%)"
"student masking",-0.0469650272649347,0.269111845290598,-0.0820426972789228,0.139741716554403,-0.0925606232819648,0.0188644457616045,-0.0300602453442621,0.181122808327177,-0.0500707523129622
"teacher masking",-0.264130542324216,0.144591184420796,0.181414021668846,0.151727775837569,-0.0016376837311164,-0.0814823207647397,0.0904786857599383,-0.0351026460355705,-0.0450070677905228
"same teacher",-0.274605359882094,-0.593806475582163,-0.104193832891973,0.19650231553468,0.192302273460235,0.0826482632895885,-0.0791234425275595,0.104479892415726,0.0499567969244536
"same students",-0.338217167743465,-0.504687945626002,-0.00512760445165622,0.260248165619602,0.0919480171328949,0.0208608200589131,0.0267935704097462,0.0986657639760023,-0.0093065277144975
"outdoor instruction",-0.0992156360393638,-0.0681825630364392,0.0185525065768441,-0.043933827926952,0.0152537487016595,0.0287621923905814,-0.051403442914815,0.0168872130312546,-0.215878080347381
"restricted entry",-0.332726283207907,0.0194738075706212,0.335626394050945,0.114007900063901,-0.165462670417556,-0.229353886431399,0.327416400300005,-0.673529155629097,-0.0427509874837789
"reduced class size",-0.312665594251721,0.247856629615726,-0.180737110623411,-0.300068598697672,0.778437037650354,0.0942193329862919,0.0224469329074275,-0.218957374307358,-0.0510646463286808
"closed cafe",-0.266399573700237,-0.010720042805942,-0.362872927053763,-0.269056043274801,-0.392045529677366,0.527308548050605,0.394705125137737,0.0124134595791438,-0.348579616760709
"closed play",-0.172554413170078,0.0167594469790478,-0.316851050442142,-0.180164067334621,-0.169623641538513,0.114913337546832,-0.0564001367632314,-0.176493371867412,0.828398953174149
"desk shields",-0.138136759770595,0.0959031197654108,-0.0203404562388836,0.170163641650129,-0.178529180444148,0.323171505614086,-0.785740650910539,-0.374319715628641,-0.185978609613728
"extra desk space",-0.334454221413067,0.378042411696382,0.0277217321664366,0.251941971523948,0.120952394941982,0.0903912833102497,-0.0349213609286875,0.361775731801769,-0.0271354111564348
"no extracurricular",-0.273561843459232,-0.00986455423620271,-0.44961613683803,-0.247832696077494,-0.198114104008583,-0.716967177792462,-0.220557306432579,0.0703797451945368,-0.214602214540007
"no supply sharing",-0.355626668047109,0.268418229296101,0.0531159394684307,0.327001984028225,-0.171144232462522,-0.0539968690202873,0.0706941273939211,0.241879454120425,0.218188253832508
"daily symptom screen",-0.294836450555436,-0.0907756808242181,0.604640864401873,-0.61685290807257,-0.122093731643455,0.0510266712757571,-0.205814791320507,0.27871563582749,0.0714788554411123
